"sim","n1","n0","prop_obs_s0","prop_obs_s1","delta.s.true","delta.true","R.true","betahat1","betahat1_star","R.model","betahat1_star.complete","R.model.complete","betahat1_star.ipw","R.model.ipw","betahat1_star.smle","R.model.smle"
"4-596",1000,1000,1,0.3,6,12,0.5,12.4405289642505,6.59550015620363,0.469837643145506,6.63781440238791,0.466436321038875,6.75065102310242,0.466436321038875,6.61319142256697,0.468415576092394
"4-597",1000,1000,1,0.3,6,12,0.5,12.0318294832408,6.11861161810268,0.491464566828732,5.91800785571206,0.508137323259501,6.00697391263413,0.508137323259501,5.96578461700357,0.504166459031575
"4-598",1000,1000,1,0.3,6,12,0.5,11.9780780090111,6.22677681853686,0.480152256993779,6.20572427423145,0.481909846507686,6.31891690284317,0.481909846507686,6.21412985606231,0.481208099380598
"4-599",1000,1000,1,0.3,6,12,0.5,12.2745677686219,6.05884687703995,0.506390205239775,6.08807418054136,0.504009078339639,6.07483453284186,0.504009078339639,6.04967988213055,0.507137033566621
"4-600",1000,1000,1,0.3,6,12,0.5,11.6355073667537,6.24473265634052,0.463303794196058,6.01398466148424,0.4831351593083,6.00393890052484,0.4831351593083,6.06351762980111,0.478878106585494
"4-601",1000,1000,1,0.3,6,12,0.5,11.5757163960433,6.32817771222258,0.453323017279033,6.19669661154451,0.464681372665402,6.37498645709012,0.464681372665402,6.19446875973819,0.464873831752175
"4-602",1000,1000,1,0.3,6,12,0.5,11.87725828538,6.24779527926504,0.473969907099216,6.1156565847584,0.485095260386286,6.0059644738644,0.485095260386286,6.1170769004018,0.484975677599647
"4-603",1000,1000,1,0.3,6,12,0.5,12.4992923979683,6.21344229086642,0.502896476613639,5.98645079788137,0.521056824076344,5.99690674558126,0.521056824076344,6.0621991159535,0.514996615573305
"4-604",1000,1000,1,0.3,6,12,0.5,12.0534636009975,6.31492282478308,0.476090604839885,6.23662545169768,0.482586445013072,6.31914462145993,0.482586445013072,6.29218272625583,0.477977207668749
"4-605",1000,1000,1,0.3,6,12,0.5,11.5059040809561,6.0737435658022,0.472119398609005,6.02246895580615,0.476575772452839,6.02970759385623,0.476575772452839,6.03370033540343,0.475599631897673
